"","Goles","Jugador","Club"
"1","6","MORALES, ENZO","CUADRO NACIONAL B"
"2","5","BETT , SANTIAGO","PESCADORES"
"3","5","SALTO , JOSE","SAN LUIS"
"4","5","FERREYRA , MARCELO","BANCO MZA B"
"5","4","PEREZ, SIMON","PARQUE NORDICO B"
"6","4","SANCHEZ, JUAN PABLO","UTN"
"7","4","MOYANO, HUGO","CPD AGUILAS FUTSAL"
"8","4","DIAZ , TOBIAS","TENIS B"
"9","3","CAMPOS, MARTIN","PESCADORES"
"10","3","RUTI, JOSE","PESCADORES"
"11","3","GUTIERREZ, AYRTON","SAN LUIS"
"12","3","MIRANDA, ALEJO","BANCO MZA B"
"13","3","GOMEZ, LUCAS","TENIS D"
"14","3","COMPAN , FEDERICO","AMARAL B"
"15","3","FERNANDEZ , NICOLAS","AMARAL C"
"16","3","SCANDOLERA, LUCA","PARQUE NORDICO B"
"17","2","CORZO, RODRIGO","AMARAL"
"18","2","COPA, LUCAS","UTN B"
"19","2","CHIACCHIARA , BRIGHTON","UTN"
"20","2","IBARRA , ALEJO","PESCADORES"
