"","Goles","Jugador","Club"
"1","16","BIELLI , IGNACIO","BANCO MZA B"
"2","10","VERDUGO, ADAN","LOS LEGENDARIOS"
"3","7","RODRIGUEZ, RODRIGO","BANCO MZA B"
"4","6","CORZO, RODRIGO","AMARAL"
"5","6","REARTE, AGUSTIN","SAN LUIS"
"6","6","SANTACROCE, PATRICIO","PARQUE NORTE B"
"7","6","SALTO , JOSE","SAN LUIS"
"8","6","ESPINOZA, CESAR","PESCADORES"
"9","5","FERREYRA , MARCELO","BANCO MZA B"
"10","4","ANTONIO , CRISTIAN","LOS LEGENDARIOS"
"11","4","BETT , SANTIAGO","PESCADORES"
"12","4","LUCERO , JERONIMO","PESCADORES"
"13","4","TAPIA, LUCAS","CPD AGUILAS FUTSAL"
"14","3","ROJAS, THOMAS","CPD AGUILAS FUTSAL"
"15","3","REYES, CLAUDIO","CUADRO NACIONAL"
"16","3","PEREZ , FACUNDO","LOS LEGENDARIOS"
"17","3","POMASKI , FEDERICO","AMARAL"
"18","3","MEDINA, KEVIN","CPD AGUILAS FUTSAL"
"19","3","MOYANO, HUGO","CPD AGUILAS FUTSAL"
"20","3","GUTIERREZ, AYRTON","SAN LUIS"
