"","Goles","Jugador","Club"
"1","13","FUNES , LUCIO","PEDAL"
"2","7","BARCHOVSKI , MATIAS","BANCO MZA"
"3","5","VIDELA, KARIM","CDA B"
"4","5","PAVEZ , MAXIMO","BANCO MZA"
"5","4","RADA, BRUNO","PEDAL"
"6","4","COLLADO, GASTON","LOS GLADIADORES"
"7","4","NAVARRO, LUKA","SOSNEADO FUTSAL CLUB"
"8","4","RAMOS, SANTIAGO","HURACAN"
"9","4","TOLEDO, LAUTARO","PEDAL"
"10","4","FANTAUZZI , FABRIZIO","PEDAL"
"11","4","ARENA, JEREMIAS","BANCO MZA"
"12","3","LOPEZ, NICOL?S","CUADRO NACIONAL"
"13","3","CONTRERAS, JEREMIAS","LOCOS X EL FUTSAL B"
"14","3","REYES, NAHUEL","SOSNEADO FUTSAL CLUB"
"15","3","LUCERO, OMAR","SOSNEADO FUTSAL CLUB"
"16","3","SOSA, FACUNDO","CDA"
"17","3","OLLARCE, BRIAN","SOSNEADO FUTSAL CLUB"
"18","3","MAGALLANES, GONZALO","SOSNEADO FUTSAL CLUB"
"19","3","MATBICHUCK , NICOLAS","LOCOS X EL FUTSAL B"
"20","2","SABIO, MAURICIO","HURACAN"
