"","Goles","Jugador","Club"
"1","11","GONZALEZ, HERNAN","CUADRO NACIONAL"
"2","9","CHACON , JOAQUIN","BACHILLERATO"
"3","8","SAROME, JUAN","LOCOS X EL FUTSAL"
"4","7","MARQUEZ, FRANCISCO","AZUL B"
"5","7","RODRIGUEZ, BENJAMIN","CUADRO NACIONAL"
"6","5","CAÑADAS , BENJAMIN","TENIS A"
"7","5","MIRANDA , MANUEL","UTN"
"8","4","LOPEZ, FELIPE","AMARAL"
"9","4","MAGALLANES, MARTIN","LOCOS X EL FUTSAL"
"10","4","SOLIS, MATIAS","UTN"
"11","4","FERNANDEZ , JOAQUIN","TENIS B"
"12","4","DE LEÓN, NAHUEL","PEDAL"
"13","3","PEREZ , MARIANO","BANCO MZA"
"14","3","SCOLLO , LUCCA","TENIS A"
"15","3","MARTIN, JUAN CRUZ","TENIS A"
"16","3","MARTINEZ, NICOLAS","LOCOS X EL FUTSAL"
"17","3","HANEMAN, DAVID","PEDAL A"
"18","3","NU?EZ, BERNARDO","TENIS A"
"19","3","JUAN, SALAS","BACHILLERATO"
"20","3","ASPITIA, ELIAS","CPD AGUILAS FUTSAL"
