"","Goles","Jugador","Club"
"1","11","SOLIS, SANTINO","UTN"
"2","10","SANTANDER, TIZIANO","BACHILLERATO"
"3","8","HERNANDEZ, TIAGO","BANCO MZA"
"4","8","MARTINEZ , NICOLAS","BACHILLERATO BLANCO"
"5","7","VILLARUEL, GASTON","UTN"
"6","7","MARTINEZ, AARON","CDA"
"7","6","SCHMITT, FEDERICO","TENIS A"
"8","5","BONINO, JOAQUíN","BANCO MZA"
"9","5","GUTIERREZ, NICOLAS","LOCOS X EL FUTSAL A"
"10","4","RAMOS, FELIPE","BANCO MZA"
"11","4","MARTINEZ, LUKA","TENIS AZUL"
"12","4","SPONTON, VALENTINO","LOCOS X EL FUTSAL A"
"13","3","MUBILLA, TIZIANO","BANCO MZA"
"14","3","RODRIGUEZ , JUAN","AMARAL"
"15","3","NU?EZ, BENICIO","LOCOS X EL FUTSAL A"
"16","2","SAT, BAUTISTA","TENIS AZUL"
"17","2","MUÑOZ , LUCAS","BANCO MZA"
"18","2","BISCEGLIA, GASTON","TENIS BLANCO"
"19","2","AGUIRRE, LUCIO","PESCADORES"
"20","2","QUINTANA, AGUSTíN","BACHILLERATO BLANCO"
