"","Goles","Jugador","Club"
"1","8","LUFFI , SANTIAGO","BACHILLERATO"
"2","7","PEREGRIN , KEVIN","PARQUE NORDICO"
"3","5","MEDINA , BAUTISTA","LOCOS X EL FUTSAL A"
"4","5","ZUÑIGA, CARLITOS","BACHILLERATO"
"5","4","PEREZ, ISAIAS","LOS GLADIADORES"
"6","4","BERNALES , BENJAMIN","BACHILLERATO"
"7","4","GIMENEZ, ENZO","CUADRO NACIONAL A"
"8","3","DE LOS RIOS , MARTIN","LOS LEGENDARIOS"
"9","3","CUSSI, LUIS","SOSNEADO FUTSAL CLUB"
"10","3","MELSI, ANGEL","LOS GLADIADORES"
"11","3","FARIAS, FRANCO","BANCO MZA A"
"12","3","SANCHEZ, ALEXIS","CUADRO NACIONAL A"
"13","3","GARCIA, JUAN PABLO","CDA C"
"14","3","NUÑEZ, MARCELO","RINCON DEL ATUEL"
"15","3","DOMINGUEZ , MAXIMO","PARQUE NORDICO"
"16","3","REYES , DAMIAN","HURACAN A"
"17","3","DEVIA , MARIO","HURACAN A"
"18","3","RUBIN , LEANDRO","HURACAN A"
"19","2","URQUIZA, LUCAS","HURACAN"
"20","2","TOLEDO , FEDERICO","BANCO MZA A"
